Date,Open,High,Low,Close,Adj Close,Volume,
06/08/2020,229.03,241.21,223.55,228.58,227.51,112449700,
06/01/2020,224.59,233.00,223.50,230.77,229.69,88315000,
05/25/2020,239.77,240.90,221.13,225.09,224.03,120494600,
05/18/2020,212.15,237.20,210.94,234.91,233.81,183866200,
05/11/2020,210.89,215.28,200.69,210.88,209.89,84863200,
05/04/2020,200.20,213.21,198.76,212.35,211.35,89836900,
04/27/2020,192.66,209.69,182.56,202.27,201.32,173529000,
04/20/2020,177.41,190.41,168.34,190.07,189.18,124421800,
04/13/2020,173.67,181.23,169.45,179.24,178.40,102358200,
04/06/2020,160.15,177.08,158.51,175.19,174.37,105064000,
03/30/2020,159.18,170.93,150.83,154.18,153.46,112568700,
03/23/2020,149.66,164.00,142.25,156.79,156.05,146892200,
03/16/2020,152.32,159.93,137.10,149.73,149.03,183359800,
03/09/2020,169.60,178.29,154.34,170.28,169.48,153135600,
03/02/2020,194.03,197.24,176.26,181.09,180.24,119888600,
02/24/2020,201.80,203.65,181.82,192.47,191.57,115289600,
02/17/2020,213.55,218.77,208.83,210.18,209.19,54945800,
02/10/2020,211.52,214.93,206.51,214.18,213.18,76839200,
02/03/2020,203.44,212.82,202.50,212.33,211.33,70472700,
01/27/2020,213.10,224.20,201.06,201.91,200.96,140541200,
01/20/2020,222.16,222.75,216.11,217.94,216.92,49589400,
01/13/2020,219.60,222.63,218.63,222.14,221.10,63710000,
01/06/2020,206.70,219.88,206.52,218.06,217.04,70208500,
12/30/2019,207.86,210.40,203.60,208.67,207.69,42743300,
12/23/2019,206.70,208.93,205.00,208.10,207.12,39030100,
12/16/2019,195.27,207.71,194.81,206.30,205.33,92183100,
12/09/2019,200.65,203.66,193.17,194.11,193.20,72000100,
12/02/2019,202.13,202.18,195.08,201.05,200.11,53566000,
11/25/2019,199.52,203.80,198.04,201.64,200.69,47729600,
11/18/2019,194.56,200.00,193.05,198.82,197.89,69670200,
11/11/2019,189.93,195.70,188.54,195.10,194.18,57672200,
11/04/2019,194.55,197.37,189.47,190.84,189.94,61520100,
10/28/2019,187.20,198.09,185.08,193.62,192.71,119965700,
10/21/2019,187.04,190.65,181.50,187.89,187.01,59435300,
10/14/2019,184.20,191.49,182.57,185.85,184.98,59039200,
10/07/2019,180.00,186.49,177.72,184.19,183.33,49737600,
09/30/2019,177.87,180.98,173.09,180.45,179.60,70481200,
09/23/2019,189.34,190.10,175.66,177.10,176.27,80682000,
09/16/2019,186.93,193.10,185.54,189.93,189.04,58124700,
09/09/2019,187.73,190.93,184.55,187.19,186.31,64800900,
09/02/2019,184.00,191.36,182.11,187.49,186.61,50190900,
08/26/2019,179.40,186.80,178.24,185.67,184.80,53462500,
08/19/2019,186.01,187.50,176.66,177.75,176.92,56317600,
08/12/2019,186.85,191.38,179.31,183.70,182.84,68992100,
08/05/2019,184.69,190.98,179.34,187.85,186.97,82843300,
07/29/2019,199.00,199.63,188.07,189.02,188.13,76101900,
07/22/2019,199.91,208.66,196.25,199.75,198.81,125029100,
07/15/2019,204.25,205.47,198.07,198.36,197.43,64282900,
07/08/2019,195.19,205.30,193.64,204.87,203.91,74039000,
07/01/2019,195.21,197.40,191.93,196.40,195.48,44642000,
06/24/2019,192.42,198.88,187.31,193.00,192.09,72605800,
06/17/2019,185.01,194.53,184.41,191.14,190.24,125835300,
06/10/2019,174.75,181.84,172.88,181.33,180.48,76761600,
06/03/2019,175.00,175.05,160.84,173.35,172.54,151225900,
05/27/2019,181.54,184.71,177.16,177.47,176.64,51449000,
05/20/2019,181.88,186.74,179.67,181.06,180.21,48645100,
05/13/2019,183.50,188.58,178.10,185.30,184.43,74646800,
05/06/2019,191.24,194.28,184.59,188.34,187.46,68299100,
04/29/2019,190.95,197.39,189.75,195.47,194.55,86917500,
04/22/2019,178.25,198.48,178.25,191.49,190.59,146858400,
04/15/2019,178.50,180.74,176.87,178.28,177.44,43679300,
04/08/2019,175.21,179.63,174.23,179.10,178.26,59150700,
04/01/2019,167.83,178.00,167.28,175.72,174.90,89160900,
03/25/2019,163.00,169.45,162.00,166.69,165.91,62587900,
03/18/2019,163.57,167.42,159.28,164.34,163.57,115959400,
03/11/2019,171.60,174.30,162.51,165.98,165.20,98185400,
03/04/2019,163.90,173.57,163.83,169.60,168.80,100105600,
